"location","locationRep","lonLat","image","locRepId"
"Angola","Luanda Bay","13.240411 -8.788325","https://upload.wikimedia.org/wikipedia/commons/5/51/AMH-7669-NA_Map_of_the_bay_of_Luanda.jpg","93d63685-3b25-44fa-acec-1bbadb39bbcc"
"Antongil","Antongil Bay","49.818305 -15.178218","https://upload.wikimedia.org/wikipedia/commons/e/e2/AMH-7277-KB_The_river_of_Maningaar_on_Madagascar.jpg","ef0b70b9-9c4e-4bc8-97fd-d579b10ff774"
"Arracan","Kolkata","88.354403 22.564199","https://upload.wikimedia.org/wikipedia/commons/f/f4/Arracan_%28Arakan%29_Pagoda-Mandalay_%28NYPL_Hades-2359593-4044357%29.jpg","f8ccbaae-3a9c-4bd7-8fbb-ab44f72d30ec"
"Batavia","Jakarta","106.816667 -6.2","https://upload.wikimedia.org/wikipedia/commons/4/45/Batavia_-_Townhall_1770.jpg","6402fdda-c1a4-418e-b44b-16f443bdeacf"
"Bombay","Mumbai","72.834483 19.030926","https://upload.wikimedia.org/wikipedia/commons/0/0f/Bombay-fort-1703.JPG","0ff502ec-387b-450c-9665-5ab07bd336af"
"Bourbon","Réunion","55.5325 -21.114444","https://upload.wikimedia.org/wikipedia/commons/9/9c/Rosemont_-_La_culture_du_café_à_l%27île_Bourbon.jpg","76e02ec0-2ad6-4026-9101-abf2c9c27b64"
"Cape of Good Hope","Cape of Good Hope","18.474689 -34.357906","https://upload.wikimedia.org/wikipedia/commons/b/b5/Bezetting_van_Kaap_de_Goede_Hoop_met_Franse_hulp%2C_1781_De_Kaap_de_Goede_Hoop_met_Fransehe_hulptroepen_bezet_in_t%27Jaar_1781_%28titel_op_object%29%2C_RP-P-OB-75.370.jpg","16d47d7e-b481-4d04-846c-bddda3407595"
"Ceylon","Colombo","79.833200 6.943646","https://upload.wikimedia.org/wikipedia/commons/2/2a/Galle_Fort_Between_1640_-_1667.png","4ae824c5-7318-4a6c-bad8-badfc69e06f6"
"Coromandel","Nagapattinam","79.83 10.77","https://upload.wikimedia.org/wikipedia/commons/6/61/Coromandel_Coast_1753.jpg","55b599dd-5242-494d-b58a-76b2c2bfed59"
"England","London","-0.120854 51.528308","https://upload.wikimedia.org/wikipedia/commons/2/2d/London_customs_house_18th_century.jpg","fd001617-b931-43c6-b6b6-f87efdfde6e8"
"Fort Dauphin","Taolagnaro","46.973494 -25.031806","https://upload.wikimedia.org/wikipedia/commons/e/e4/Fort-Dauphin_Flacourt_1650.jpg","69fb4376-8ed0-4bf0-b72b-6242017ac5ec"
"Fort St. David","Fort St. David","79.75 11.75","https://upload.wikimedia.org/wikipedia/commons/2/2e/Fort_St_David_map_1758.jpg","b9169490-0a82-450d-8015-849facdd9142"
"Foulpointe","Mahavelona","49.518333 -17.686111","https://upload.wikimedia.org/wikipedia/commons/1/18/Manda_Fort_Caserne_Foulpointe_Madagascar.jpg","d09c71da-f400-4eea-9233-f544028fe9c9"
"France","Bordeaux","-0.525063 44.837402","https://upload.wikimedia.org/wikipedia/commons/4/45/Cacault-Bordeaux-1756.JPG","ebafad60-abb7-4478-a89e-986bbf62b21d"
"Malacca","Malacca","102.247982 2.194151","https://upload.wikimedia.org/wikipedia/commons/8/84/Manuel_Godinho_de_Erédia_-_Description_of_Malacca%2C_Meridional_India_and_Cathay_-_A_Famosa.png","6ca95e80-b446-48a8-a6ac-fa1c3906f0bf"
"Maringar/Bombetoc","Mitsinjo","45.9901265 -15.815277","https://upload.wikimedia.org/wikipedia/commons/4/42/Mitsinjo_community_association_headquarters_%2815904901931%29.jpg","afebe03f-de9b-47a0-be53-0dc925682a4c"
"Masalpatinam","Masulipatnam","81.207473 16.157121","https://upload.wikimedia.org/wikipedia/commons/c/ca/Gezicht_op_Machilipatnam_%28Masulipatnam%29_Masulipatam_%28titel_op_object%29%2C_RP-P-1908-2308.jpg","905024be-0def-4647-9c0a-d0750d83cb93"
"Massaliege","Mahajanga","46.316667 -15.716667","https://upload.wikimedia.org/wikipedia/commons/2/2b/Celestine-d06-182a.jpg","db9f26c4-a859-486d-9be8-305e949b1823"
"Mattatana","Manakara Sud","48.181594 -21.775201","https://upload.wikimedia.org/wikipedia/commons/8/80/Manakara_river.jpg","af09c795-5018-41a5-b6ca-e050f01428e9"
"Mauritius","Port Louis","57.498147 -20.154265","https://upload.wikimedia.org/wikipedia/commons/5/5b/Van_Keulen_-_De_Z._O._Haven_van_%27t_Eyland_Mauritius.jpg","b5bb6b15-68e4-4793-810d-ca38e687c0a7"
"Morondava","Morondava","44.3175 -20.284722","https://upload.wikimedia.org/wikipedia/commons/b/b7/P_verreauxi_Grandidier.jpg","0514689a-f4e1-445b-8596-e32ba314ca60"
"Port Louis","Port Louis","57.498147 -20.154265","https://upload.wikimedia.org/wikipedia/commons/6/6c/The_Capture_of_Port_Louis%2C_Cuba%2C_8_March_1748_RMG_BHC0372.jpg","2d98e5e9-b70e-4014-9620-998f04931c05"
"Pulicat","Pulicat","80.326281 3.423016","https://upload.wikimedia.org/wikipedia/commons/a/aa/Pulicat%2C_Aerial_view_of_Pellacata-1682.jpg","93178630-913f-41fc-b959-2e367f5991da"
"Reunion","Saint-Denis","55.461342 -20.888973","https://upload.wikimedia.org/wikipedia/commons/7/76/Saint-Denis.Inselin.1707.Haye-Coq.Gardinou.jpg","4d2790c3-8177-4539-bbac-2780438ad27f"
"Saint Augustin Bay","Bay of Saint-Augustin","43.683333 -23.504167","https://upload.wikimedia.org/wikipedia/commons/1/12/La_baye_de_Spiritu_Santo%2C_côte_occidentale_de_la_Floride._S._Augustin%2C_capitale_de_la_Floride_orientale._LOC_73694478.jpg","ee453438-4e9f-4fd2-9a3d-63e8dc860e56"
"Saint Luce","Manambato","47.285689 -24.580490","https://upload.wikimedia.org/wikipedia/commons/0/0d/Manambato-vue_de_la_RN5a.jpg","302f495d-4628-4f0d-94f9-be60cd86872b"
"Sainte Marie","Nosy Boraha","49.905641 -16.881392","https://upload.wikimedia.org/wikipedia/commons/3/3d/Storm_Falls_At_Sainte_Marie_Reunion_Island_%28206783797%29.jpeg","648bc436-749e-46dc-bbb4-1efc8b8f7512"
